id,components
0,turpentine
1,labetalol hydrochloride
2,"oxycodone hydrochloride, acetaminophen"
3,sennosides a and b
4,typhonium giganteum whole
5,"palm oil, coconut oil"
6,"adenosine, niacinamide"
7,menthol
8,"petrolatum, lanolin"
9,"arsenic trioxide, claviceps purpurea sclerotium, barium chloride dihydrate, helleborus niger root, anacardium occidentale fruit, tribasic calcium phosphate, sus scrofa hypothalamus, bos taurus thymus, bos taurus pituitary gland, posterior, lycopodium clavatum spore, silicon dioxide, strychnos ignatii seed, thyroid, bovine, oyster shell calcium carbonate, crude, artemisia abrotanum flowering top, niacinamide"
10,atomoxetine hydrochloride
11,"acetaminophen, hydrocodone bitartrate"
12,methylphenidate hydrochloride
13,"codeine phosphate, acetaminophen"
14,"strychnos nux-vomica seed, arsenic trioxide, copper, schoenocaulon officinale seed, onion, euphrasia stricta, anemone pulsatilla, aralia racemosa root"
15,"cetraria islandica subsp. islandica, drosera rotundifolia flowering top, chamomile, arabica coffee bean, protortonia cacti, bryonia alba whole, arnica montana, tin"
16,water
17,oxycodone hydrochloride
18,zinc oxide
19,"solanum dulcamara top, antimony trisulfide, thuja occidentalis leafy twig, nitric acid, silicon dioxide, oyster shell calcium carbonate, crude"
20,ephedrine hydrochloride
21,peppermint
22,panax ginseng whole
23,quercus acutissima whole
24,"menthol, unspecified form"
25,flucytosine
26,"melissa officinalis seed oil, calendula officinalis flower, arnica montana, capsicum"
27,"thyroid, unspecified, tin, phytolacca americana root, semecarpus anacardium juice, fucus vesiculosus, zinc, barium iodide, acetic acid, sodium sulfate, oyster shell calcium carbonate, crude, capsicum, graphite"
28,"cetraria islandica subsp. islandica, drosera rotundifolia flowering top, chamomile, arabica coffee bean, protortonia cacti, bryonia alba whole, arnica montana, tin, corallium rubrum whole"
29,"oatmeal, allantoin"
30,glycerin
31,hydrogen peroxide
32,"adenosine, niacinamide, glycerin"
33,potassium carbonate
34,"dibasic potassium phosphate, arsenic trioxide, arisaema triphyllum root, calcium sulfide, sodium sulfate, mercurius solubilis"
35,isopropyl alcohol
36,"strychnos nux-vomica seed, arsenic trioxide, copper, schoenocaulon officinale seed, onion, euphrasia stricta, anemone pulsatilla, aralia racemosa root, lobaria pulmonaria"
37,"potassium iodide, iodine"
38,"arsenic trioxide, rancid beef, capsicum, ferrum phosphoricum"
39,tranexamic acid
40,"adenosine, tranexamic acid"
41,"dextromethorphan hydrobromide, phenylephrine bitartrate, aspirin"
42,castor oil
43,witch hazel
44,"cetraria islandica subsp. islandica, drosera rotundifolia flowering top, ipecac, cochineal, bryonia alba whole, arnica montana, tin, corallium rubrum whole"
45,"cetraria islandica subsp. islandica, drosera rotundifolia flowering top, ipecac, protortonia cacti, bryonia alba whole, arnica montana, tin, corallium rubrum whole"
46,"cetraria islandica subsp. islandica, drosera rotundifolia flowering top, chamomile, ipecac, arabica coffee bean, protortonia cacti, bryonia alba whole, arnica montana, tin, corallium rubrum whole"
47,tetrabenazine
48,benzalkonium chloride
49,sodium monofluorophosphate
50,"camphor (natural), capsaicin"
51,dimethicone
52,"menthol, capsaicin"
53,"titanium dioxide, zinc oxide"
54,quazepam
55,florbetapir f-18
56,apixaban
57,pyridostigmine bromide
58,povidone-iodine
59,oxybutynin chloride
60,sodium bicarbonate
61,"matricaria recutita, sodium borate, arnica montana, hypericum perforatum"
62,cairina moschata heart/liver autolysate
